"id","genero","edad","ocup","cp","len_cp"
"161","M","45","16","98107-2117","10"
"233","F","45","20","37919-4204","10"
"293","M","56","1","55337-4056","10"
"458","M","50","16","55405-2546","10"
"506","M","25","16","55103-1006","10"
"567","M","35","20","52570-9634","10"
"868","M","50","17","01702-7224","10"
"913","M","25","0","20744-6223","10"
"939","F","25","20","20110-5616","10"
"946","M","35","7","48103-8929","10"
"1046","M","56","18","53404-1230","10"
"1081","M","18","4","68144-2410","10"
"1139","M","25","1","93420-2852","10"
"1201","M","18","4","84112-2004","10"
"1463","M","50","16","92612-3417","10"
"1541","M","56","17","23464-3016","10"
"1577","M","56","0","72227-5733","10"
"1595","M","35","1","92683-1892","10"
"1673","M","1","10","98043-3621","10"
"1728","M","18","4","11710-1641","10"
"1758","F","25","0","33067-1400","10"
"2002","F","56","13","02136-1522","10"
"2087","M","25","0","37923-3112","10"
"2180","M","25","12","27713-9225","10"
"2210","M","45","17","88005-4313","10"
"2220","F","50","3","95451-9554","10"
"2313","F","50","6","48103-4711","10"
"2585","M","45","15","64081-8102","10"
"2592","M","50","7","80004-4448","10"
"2746","M","50","14","50265-2850","10"
"3162","M","25","1","08854-3115","10"
"3287","M","56","13","27514-3540","10"
"3308","F","18","20","15701-1348","10"
"3328","M","56","19","91790-1161","10"
"3333","M","18","16","29404-2205","10"
"3526","M","35","2","62263-3004","10"
"3738","M","45","7","01904-1355","10"
"3848","M","25","15","70809-2612","10"
"3938","M","25","2","92711-0571","10"
"3956","M","25","0","94930-2010","10"
"4012","M","18","4","49503-1313","10"
"4014","M","25","0","48316-5601","10"
"4038","M","50","6","11510-2001","10"
"4124","M","25","18","62330-1408","10"
"4227","M","25","19","11414-2520","10"
"4458","F","25","4","15701-2017","10"
"4492","M","56","13","45322-3132","10"
"4723","M","35","7","90014-1718","10"
"4725","M","35","5","96707-1321","10"
"4746","M","50","1","19087-3622","10"
"4808","M","35","0","96707-1321","10"
"4965","M","1","10","63123-1507","10"
"5060","M","45","17","84109-2001","10"
"5145","M","35","7","77565-2332","10"
"5311","M","50","0","62025-8000","10"
"5337","F","35","3","02725-1010","10"
"5408","M","25","20","11230-1710","10"
"5470","M","56","7","20003-2712","10"
"5473","M","25","1","20120-6354","10"
"5504","M","45","7","85287-2702","10"
"5600","F","45","0","12833-2000","10"
"5665","M","18","4","10461-1301","10"
"5682","M","18","0","23455-4959","10"
"5925","F","25","0","90035-4444","10"
"5967","M","50","16","73069-5429","10"
"5985","F","18","4","78705-5221","10"
"5100","M","50","6","193122042","9"
"541","F","18","4","5849574","7"
"1259","M","35","7","2020010","7"
"4538","M","25","12","0956456","7"
"1091","M","18","5","345567","6"
"1434","F","1","10","495321","6"
"2106","F","18","20","495321","6"
"2853","M","1","1","444555","6"
"3355","M","25","1","400060","6"
"3905","M","25","17","361069","6"
"4454","M","25","20","111225","6"
"4913","F","25","1","970025","6"
"4973","F","56","2","949702","6"
"5510","M","18","4","191004","6"
"5904","F","45","12","954025","6"
"1","F","1","10","48067","5"
"2","M","56","16","70072","5"
"3","M","25","15","55117","5"
"4","M","45","7","02460","5"
"5","M","25","20","55455","5"
"6","F","50","9","55117","5"
"7","M","35","1","06810","5"
"8","M","25","12","11413","5"
"9","M","25","17","61614","5"
"10","F","35","1","95370","5"
"11","F","25","1","04093","5"
"12","M","25","12","32793","5"
"13","M","45","1","93304","5"
"14","M","35","0","60126","5"
"15","M","25","7","22903","5"
"16","F","35","0","20670","5"
"17","M","50","1","95350","5"
"18","F","18","3","95825","5"
